name,t90,ra,dec,z,
50603,6,39.98705,-25.18183,2.821,
120327A,62.9,246.86442,-29.415,2.813,
130427B,27,314.89842,-22.54636,2.78,
81222,24,22.73996,-34.09486,2.77,
91029,39.2,60.17742,-55.95556,2.752,
90809,5.4,328.67996,-0.08384,2.737,
60714,115,227.86021,-6.56619,2.7108,
90726,67,248.67935,72.88467,2.71,
121229A,100,190.10121,-50.5943,2.707,
50406,3,34.46792,-50.1875,2.7,
71031,180,6.40529,-58.0595,2.6918,
080603B,60,176.53192,68.06111,2.6892,
120811C,26.8,199.68254,62.30075,2.671,
30429,9.19,183.28125,-20.91381,2.6564,
80210,45,251.26671,13.82669,2.6419,
90529,100,212.469,24.45894,2.625,
70103,19,352.5575,26.87622,2.6208,
050215B,10,174.449,40.79581,2.62,
050820A,26,337.40879,19.56031,2.6147,
90426,1.2,189.07529,32.986,2.609,
130514A,204,296.28292,-7.97622,2.6,
060923A,51.7,254.61733,12.36081,2.6,
80721,16.2,224.48273,-11.72348,2.5914,
081118A,67,82.59242,-43.30147,2.58,
050915A,25,81.68668,-28.01646,2.5273,
81121,14,89.27579,-60.60286,2.512,
50819,36,358.75675,24.86083,2.5043,
030115A,17.94,169.63596,15.04997,2.5,
70529,109,283.74246,20.65944,2.4996,
130518A,48,355.66781,47.46493,2.49,
120716A,230,313.05042,9.59825,2.48,
80515,21,3.1625,32.57806,2.47,
100424A,104,209.44762,1.53858,2.465,
70802,16.4,36.89867,-55.52747,2.4541,
90812,66.7,353.20229,-10.60472,2.452,
71021,225,340.64296,23.71847,2.452,
080413A,46,287.299,-27.67781,2.433,
51001,190,350.95304,-31.52314,2.4296,
80310,365,220.0575,-0.17558,2.4274,
080905B,128,301.74121,-62.56306,2.3739,
120815A,9.7,273.95758,-52.13114,2.358,
70110,85,0.91363,-52.97414,2.3521,
051109A,25,330.3138,40.82314,2.346,
110128A,30.7,193.89629,28.06544,2.339,
70129,460,37.00392,11.68444,2.3384,
21004,52.4,6.72783,18.92822,2.323,
060111A,13,276.205,37.60392,2.32,
70506,4.3,347.21829,10.72231,2.309,
121024A,69,70.47208,-12.29069,2.298,
130505A,88,137.061,17.48478,2.27,
81221,34,15.79258,-24.54769,2.26,
60124,710,77.10833,69.74089,2.23,
110205A,257,164.62967,67.52533,2.22,
80804,34,328.6675,-53.18461,2.2045,
121128A,7.52,300.60004,54.29978,2.2,
050922C,5,317.38785,-8.75839,2.1995,
070810A,11,189.96342,10.75119,2.17,
71020,4.2,119.66575,32.86111,2.1462,
11211,270,168.82492,-21.94894,2.14,
60604,10,337.22921,-10.9155,2.1357,
090926A,,353.40015,-66.32407,2.1062,
100728B,12.1,44.05617,0.28106,2.106,
60512,8.6,195.77421,41.1909,2.1,
081203A,294,233.03158,63.52081,2.1,
130610A,46.4,224.42033,28.20711,2.092,
061222A,72,358.26425,46.53294,2.088,
80207,340,207.51221,7.50186,2.0858,
926,25,256.04046,51.78611,2.066,
70611,12,1.99171,-29.75556,2.0394,
000301C,10,245.0775,29.44333,2.0335,
60108,14.4,147.00825,31.91906,2.03,
130612A,4,259.79408,16.71997,2.006,
121011A,75.6,260.21342,41.11039,2,
080906A,147,228.04438,-80.51756,2,
30226,22.09,173.27054,25.89869,1.986,
81008,185.5,279.95833,-57.43111,1.967,flag
070419B,236.5,315.70758,-31.26369,1.9588,
50315,96,306.47542,-42.60061,1.95,
080319C,34,258.98121,55.39183,1.9492,
60814,146,221.33871,20.58631,1.9229,
60708,9.8,7.80758,-33.759,1.92,
20127,7.95,123.75592,36.77608,1.9,
60908,19.3,31.8265,0.342,1.8836,
131011A,77,32.52658,-4.41119,1.874,
110801A,385,89.43721,80.95589,1.858,
090902B,21,264.93896,27.32419,1.822,
090709A,89,289.92767,60.72758,1.8,
120326A,69.6,273.90467,69.25986,1.798,Flag
80325,128.4,277.89267,36.52342,1.78,
121027A,62.6,63.59767,-58.82983,1.773,
110422,25.9,112.04608,75.10694,1.77,
100425A,37,299.1965,-26.43081,1.755,
90113,9.1,32.0575,33.42842,1.7493,
120119A,253.8,120.02887,-9.08158,1.728,
100906A,114.4,28.68379,55.63044,1.727,
50802,13,219.27371,27.78672,1.7102,
91020,34.6,175.72992,50.97831,1.71,
70521,37.9,242.66092,30.25622,1.7,
80928,280,95.07015,-55.19971,1.6919,
080603A,180,279.40858,62.74425,1.688,
80605,20,262.12529,4.01556,1.6403,
990510,100,204.53183,-80.49689,1.619,
110503A,10,132.77608,52.20753,1.613,
990123,63.3,231.37642,44.76642,1.61,
090418A,56,269.31321,33.40592,1.608,
71003,150,301.8505,10.94772,1.6044,
070714A,2,42.93046,30.24306,1.58,
100728A,198.5,88.75838,-15.25567,1.567,
40912,150,359.179,-0.92217,1.563,
51111,47,348.13783,18.37461,1.55,
70125,60,117.82403,31.15114,1.5471,
90102,,128.24392,33.11419,1.547,
80520,2.8,280.19338,-54.99197,1.5457,
60719,55,18.432,-48.38092,1.532,
30328,92.59,182.70167,-9.34758,1.522,
80330,61,169.26873,30.6232,1.5119,
80805,78,314.22267,-62.44439,1.5042,
060502A,33,240.927,66.60069,1.5026,
70306,210,148.09713,10.48202,1.49594,
60418,52,236.4275,-3.63889,1.49,
120724A,72.8,245.18062,3.50772,1.48,
10222,,223.05229,43.01839,1.478,
110213A,48,42.96429,49.27314,1.46,
90407,310,68.97975,-12.67922,1.4485,
50318,32,49.71312,-46.39547,1.4436,
100814A,174.5,22.47338,-17.99544,1.44,
50822,102,51.11342,-46.03333,1.434,
80604,82,236.96542,20.55781,1.4171,
100901A,439,27.26425,22.75856,1.408,
120711A,44,94.6785,-70.99911,1.405,
80602,74,19.17571,-9.23219,1.4,
100615A,39,177.20542,-19.48117,1.398,
111229A,25.4,76.28692,-84.71086,1.3805,
50801,20,204.14583,-21.92806,1.38,
90927,2.2,343.97254,-70.98036,1.37,
100414A,26.4,192.11233,8.69303,1.368,
110808A,48,57.26783,-44.19453,1.348,
71117,6.6,335.04342,-63.44319,1.331,
61121,81,147.22742,-13.1952,1.3145,
990506,150,178.70892,-26.67644,1.307,
130511A,5.43,196.64567,18.71,1.3033,
130420A,123.5,196.10654,59.42408,1.297,
50126,26,278.11321,42.37044,1.29,
100724A,1.4,194.54333,-11.1025,1.288,
61007,75,46.33167,-50.50069,1.2622,
020813A,88.98,296.67446,-19.60134,1.2545,
090926B,81,46.30808,-39.00617,1.24,
130907A,115.1,215.892,45.60742,1.238,
50408,34,180.57212,10.85261,1.2356,
80707,27.1,32.61833,33.10953,1.2322,
130418A,300,149.03717,13.66744,1.218,
100316B,3.8,163.48812,-45.47267,1.18,
60319,12,176.38704,60.01086,1.172,
70208,48,197.88586,61.9651,1.165,
70518,5.5,254.19875,55.29508,1.16,
61126,191,86.60198,64.21068,1.159,
130701A,4.38,357.22954,36.10039,1.155,
71122,68.7,276.60525,47.07514,1.14,
60801,0.5,213.00554,16.98183,1.131,
418,30,186.33042,20.10322,1.11854,
981226,260,352.40417,22.93161,1.11,
080413B,8,326.1445,-19.98111,1.1014,
980613,50,154.49092,71.45708,1.0964,
91024,1200,339.24875,56.88983,1.092,
110213B,,41.75588,1.14619,1.083,
091208B,14.9,29.39204,16.88967,1.0633,
51006,26,110.80633,9.5068,1.059,
911,500,34.64317,7.74103,1.0585,
110726A,5.2,286.71692,56.07128,1.036,
80411,56,37.97996,-71.30203,1.0301,
121211A,182,195.53329,30.1485,1.023,
991216,50,77.38041,11.28535,1.02,
21211,2.8,122.24951,6.72719,1.006,
110918A,22,32.53912,-27.10544,0.982,
071010A,6,288.06093,-32.40199,0.98,
81109,190,330.7905,-54.71097,0.9787,
91018,4.4,32.18588,-57.54828,0.971,
120907A,16.9,74.75,-9.315,0.97,
070419A,116,182.74517,39.92533,0.97,
980703,40,359.77779,8.5853,0.967,
120722A,42.4,230.4966,13.2513,0.9586,
970828,160,272.10629,59.30236,0.958,
071010B,35.7,150.53858,45.73064,0.947,
071028B,,354.16167,-31.62047,0.94,
080319B,50,217.92075,36.30244,0.9382,
060912A,5,5.284,20.97161,0.937,
051016B,4,132.11583,13.65575,0.9364,
070714B,64,57.8425,28.29761,0.923,
90510,0.3,333.55267,-26.58411,0.903,
070429B,0.5,328.01587,-38.82833,0.9023,
91003,21.1,251.51953,36.62521,0.8969,
40924,1.2,31.594,16.11344,0.859,
101225A,1088,0.19792,44.60067,0.847,
80710,120,8.27354,19.50147,0.8454,
210,20,29.81496,-40.65917,0.8452,
990705,45,77.47708,-72.13139,0.842,
70318,63,48.48679,-42.94619,0.84,
970508,35,103.45604,79.27208,0.835,
50824,25,12.23421,22.60922,0.8278,
61217,0.3,160.41383,-21.12281,0.827,
071112C,15,39.21221,28.37131,0.8227,
110715A,13,237.68371,-46.23515,0.82,
70508,21,312.80029,-78.38528,0.82,
51022,200,359.01708,19.60669,0.809,
100816A,2.9,351.73983,26.57858,0.804,
120729A,71.5,13.07429,49.93975,0.8,
060602A,60,149.56938,0.30408,0.787,
60202,203.7,35.84587,38.38422,0.785,
30528,53.85,256.00129,-22.61944,0.782,
80430,16.2,165.31129,51.68569,0.767,
061110A,41,336.29146,-2.25886,0.7578,
90328,80,90.66529,-41.88161,0.736,
50813,0.6,241.98737,11.24919,0.72,
101219A,0.6,74.58537,-2.53972,0.718,
131004A,1.54,296.11283,-2.95839,0.717,
41006,,13.70929,1.23469,0.716,
111228A,101.2,150.06671,18.29772,0.716,
51227,8,125.24212,31.92553,0.714,
991208,60,248.473,46.45583,0.7055,
060904B,192,58.2105,-0.72525,0.7029,
090814A,80,239.60979,25.63122,0.696,
970228,3.6,75.44421,11.7815,0.695,
20405,40,209.513,-31.37275,0.695,
080916A,60,336.27579,-57.023,0.6887,
111209A,1400,14.34492,-46.80117,0.677,
050416A,2.4,188.47747,21.0573,0.6528,
100418A,7,256.36287,11.46175,0.6235,
110106B,24.8,134.15528,47.00291,0.618,
070612A,370,121.37337,37.27089,0.617,
050525A,10,278.13571,26.33958,0.606,
130215A,65.7,43.50292,13.39539,0.597,
50223,23,271.38538,-62.47252,0.5915,
60123,900,179.69933,45.51394,0.56,
101219B,34,12.23063,-34.56653,0.5519,
051221A,1.4,328.70261,16.89088,0.5465,
90424,52,189.52129,16.83753,0.544,
60729,116,95.38246,-62.37022,0.5428,
100621A,63.6,315.3045,-51.10625,0.542,
90618,113.2,293.9955,78.35686,0.54,
081007A,10,339.96,-40.14689,0.5295,
91127,7.1,36.58288,-18.95236,0.49,
051117B,8,85.18075,-19.27422,0.481,
130831A,32.5,358.62458,29.42967,0.4791,
111211A,15,153.09042,11.20833,0.478,
070724A,0.4,27.80863,-18.59426,0.457,
10921,21.77,343.99958,40.93139,0.45,
61006,130,111.03192,-79.19864,0.4377,
990712,30,337.97096,-73.40786,0.43,
20819,20,351.83112,6.26554,0.41,
61210,85,144.52196,15.62147,0.4095,
120714B,159,355.40875,-46.18389,0.3984,
71227,1.8,58.13025,-55.98431,0.394,
11121,,173.62346,-76.02819,0.362,
130603B,0.18,172.20063,17.07167,0.356,
110328A,,251.20805,57.58325,0.354,
060428B,58,235.35679,62.02508,0.35,
130925A,0,41.179,-26.1531,0.347,
61021,46,145.15058,-21.95122,0.3463,
090417B,260,209.69412,47.01806,0.345,
130427A,162.8,173.13683,27.69894,0.34,
50826,35,87.75658,-2.64328,0.296,
060502B,90,278.93971,52.63136,0.287,
120422A,5.35,136.90992,14.01875,0.283,
50724,3,246.18487,-27.54097,0.258,
20903,32.15,342.17642,-20.76925,0.251,
050509B,0.13,189.05858,28.98533,0.2249,
70809,1.3,203.76896,-22.14189,0.2187,
081211B,102,168.26404,53.82992,0.216,
40701,60,312.06708,-40.18579,0.2146,
030329A,22.76,161.20817,21.52151,0.1687,
50709,220,345.36233,-38.97764,0.16,
130702A,59,217.31158,15.774,0.145,
607,0.15,38.49475,17.14764,0.1405,
60614,102,320.88367,-53.02672,0.1257,
61201,0.8,332.13371,-74.57974,0.111,
31203,30,120.6265,-39.85003,0.105,
60505,4,331.76433,-27.81442,0.089,
051109B,15,345.45983,38.67964,0.08,
100316D,240,107.62642,-56.25464,0.059,
60218,2100,50.41535,16.86717,0.0331,
111005A,26,223.28242,-19.73672,0.01326,
980425,30,293.76379,-52.84575,0.0085,
80109,500,137.37771,33.13897,0.006494,
